"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"alpha[1]",-0.446547,-0.446547,0.01881732952057,0.0260967252,-0.464149,-0.428945,.,.,.
"alpha[2]",-0.779905,-0.779905,0.0134026167594242,0.0185873561999999,-0.792442,-0.767368,.,.,.
"alpha[3]",-0.1576465,-0.1576465,0.00665213231120023,0.00922547849999999,-0.163869,-0.151424,.,.,.
"alpha[4]",0.00741285,0.00741285,0.0507708163423775,0.07041126855,-0.0400789,0.0549046,.,.,.
"alpha[5]",-0.7449945,-0.7449945,0.0263086621313752,0.0364860446999999,-0.769604,-0.720385,.,.,.
"alpha[6]",-0.258324,-0.258324,0.0447544985256869,0.0620675664,-0.300188,-0.21646,.,.,.
"alpha[7]",-0.246574,-0.246574,0.0358867705190327,0.0497693994,-0.280143,-0.213005,.,.,.
"alpha[8]",-0.0644397,-0.0644397,0.0230888055933111,0.03202060176,-0.0860373,-0.0428421,.,.,.
"alpha[9]",0.352621,0.352621,0.00613311097940631,0.00850567619999999,0.346884,0.358358,.,.,.
"alpha[10]",0.2348765,0.2348765,0.000868599036215387,0.00120461250000001,0.234064,0.235689,.,.,.
"alpha[11]",-0.13180555,-0.13180555,0.0354371836578876,0.04914589197,-0.164954,-0.0986571,.,.,.
"alpha[12]",-0.04304485,-0.04304485,0.0135479534227762,0.01878891567,-0.0557178,-0.0303719,.,.,.
"alpha[13]",-0.181138,-0.181138,0.00180668599532799,0.002505594,-0.182828,-0.179448,.,.,.
"alpha[14]",-0.093791,-0.093791,0.000174361234223665,0.000241812059999999,-0.0939541,-0.0936279,.,.,.
"alpha[15]",-0.173088,-0.173088,0.0554406720223133,0.076887636,-0.224948,-0.121228,.,.,.
"alpha[16]",-0.186485,-0.186485,0.03859893760196,0.0535307556,-0.222591,-0.150379,.,.,.
"alpha[17]",-0.10193335,-0.10193335,0.00756953325018883,0.01049777169,-0.109014,-0.0948527,.,.,.
"alpha[18]",0.0169699,0.0169699,0.0683618978328049,0.09480737742,-0.0469768,0.0809166,.,.,.
"alpha[19]",0.2559805,0.2559805,0.0189707374734277,0.0263094783,0.238235,0.273726,.,.,.
"alpha[20]",0.50907,0.50907,0.00796010882911966,0.0110394396,0.501624,0.516516,.,.,.
"alpha[21]",1.791085,1.791085,0.000219154218368199,0.000303933000000016,1.79088,1.79129,.,.,.
"alpha[22]",1.826635,1.826635,0.0207875793959483,0.0288291569999999,1.80719,1.84608,.,.,.
"alpha[23]",1.83345,1.83345,0.0195207611092834,0.0270722759999999,1.81519,1.85171,.,.,.
"alpha[24]",1.773865,1.773865,0.0165220899750261,0.022913583,1.75841,1.78932,.,.,.
"alpha[25]",1.701145,1.701145,0.00864322856344781,0.011986821,1.69306,1.70923,.,.,.
"alpha[26]",1.59872,1.59872,0.0153728666348026,0.0213197879999999,1.58434,1.6131,.,.,.
"alpha[27]",1.524535,1.524535,0.00657997177588391,0.00912540300000003,1.51838,1.53069,.,.,.
"alpha[28]",1.337505,1.337505,0.00742451730032713,0.010296657,1.33056,1.34445,.,.,.
"alpha[29]",1.155175,1.155175,0.0288481784520271,0.0400079610000001,1.12819,1.18216,.,.,.
"alpha[30]",1.014604,1.014604,0.0251717328082797,0.0349092995999999,0.991058,1.03815,.,.,.
"alpha[31]",0.9082155,0.9082155,0.0421957393956174,0.0585189633,0.868745,0.947686,.,.,.
"alpha[32]",0.842293,0.842293,0.0181555906855948,0.0251789958,0.82531,0.859276,.,.,.
"alpha[33]",0.717909,0.717909,0.0226680294940442,0.0314370504,0.696705,0.739113,.,.,.
"alpha[34]",0.588966,0.588966,0.0764762698507564,0.1060607562,0.517429,0.660503,.,.,.
"alpha[35]",0.510771,0.510771,0.0235895462561582,0.0327150516,0.488705,0.532837,.,.,.
"alpha[36]",0.3640705,0.3640705,0.0355473487418039,0.0492986739,0.330819,0.397322,.,.,.
"alpha[37]",0.206605,0.206605,0.0117947731280791,0.0163575258,0.195572,0.217638,.,.,.
"alpha[38]",0.1488445,0.1488445,0.0407343549248402,0.0564922491,0.110741,0.186948,.,.,.
"alpha[39]",0.1427325,0.1427325,0.0358595098723576,0.0497315931,0.109189,0.176276,.,.,.
"alpha[40]",-3.452645,-3.452645,0.0187884653064433,0.0260566949999998,-3.47022,-3.43507,.,.,.
